구분,음식명
"국,탕",배추꼬릿국
"국,탕",배추속댓국
"국,탕",배춧국
김치,백김치
밥,백반
떡,백설기
젓갈,밴댕이젓
마른찬,뱅어포
버섯류,버섯
"국,탕",버섯국
볶음,버섯볶음
전골,버섯전골
청주,(경주)법주
밥,보리밥
음청류,보리수단
음청류,보리차
"국,탕",보신탕
쌈,보쌈
김치,보쌈김치
어류,복(어)
"국,탕",복(어)매운탕
과일류,복숭아
회,복어회
탕,복(어)지리
찜,복(어)찜
밥,볶음밥
마른찬,부각
찌개,부대찌개
채소류,부추
김치,부추김치
"전,적",부추전
어류,북어
구이,북어구이
마른찬,북어무침
마른찬,북어보푸라기
조림,북어조림
찜,북어찜
"국,탕",북엇국
구이,불고기
전골,불고기뚝배기
전골,불낙전골
기타,불백정식
찜,붕어찜
김치,(무)비늘김치
면,비빔국수
면,비빔냉면
밥,비빔밥
찌개,비지찌개
기타,빙수
육류,사골
과일류,사과
"전,적",사슬(어산)적
찜,사태찜
한과,산자
"전,적",산적
밥,산채비빔밥
과일류,살구
한과,살구편
구이,삼겹살구이
"국,탕",삼계탕
어류,삼치
마른찬,삼합장과
채소류,상추
생채,상추겉절이
쌈,상추쌈
갑각류,새우
젓갈,새우젓
마른찬,새우튀김
구이,생갈비구이
채소류,생강
한과,생강정과 / 생강전과
음청류,생강차
과일류,생률
"전,적",생선전
기타,생선초밥
회,생선회
생채,생채
김치,섞박지
찌개,섞어찌개
"국,탕",선지해장국 / 선짓국
"국,탕",설렁탕
구이,섭산적
패류,성게
젓갈,성게젓
"국,탕",성게국
패류,소라
회,소라무침
회,소라회
면,소면
김치,소박이김치
증류주,소주
버섯류,송이
밥,송이밥
볶음,송이볶음
"전,적",송이산적
전골,송이전골
찜,송이찜
떡,송편
육류,쇠고기
"국,탕",쇠고기맑은장국
"전,적",쇠고기산적
구이,쇠고기소금구이
전골,쇠고기전골
마른찬,쇠고기튀김
찜,쇠꼬리찜
떡,쇠머리떡
편육,쇠머리편육
찜,수란
과일류,수박
한과,수삼정과
곡류,수수
떡,수수경단
떡,수수부꾸미 / 수수전병
편육,수육
음청류,수정과
수제비,수제비
한과,숙실과
나물,숙주나물
순대,순대
"국,탕",순댓국
두류,순두부
찌개,순두부찌개
김치,순무김치
음청류,숭늉
구이,숯불갈비
채소류,시금치
"국,탕",시금칫국
채소류,시래기
숙채,시래기나물
찌개,시래기찌개
"국,탕",시래깃국
떡,시루떡 / 시루편
양념,식초
음청류,식혜
전골,신선로
버섯류,싸리버섯
쌈,쌈
쌈,쌈밥
음청류,쌍화차
"국,탕",쏘가리매운탕
채소류,쑥
채소류,쑥갓
떡,쑥경단
"국,탕",쑥국
면,쑥국수
